
<0000> "으으으으으으... 어쩌죠..."
<0001> "얘, 레파. 곤란한 표정 짓고 무슨 일이야?"
<0002> "...시끄러운 애가 와버린 거예요."
<0003> "음, 시끄럽다니 뭐가? 칭찬하는 거야?"
<0004> "...하아, 미우는 조금만 차분했으면 좋겠다고 생각하는 거예요."
<0005> "활발하다는 게 내 장점이란 거지."
<0006> "자기 입으로 말하지 마세요."
<0007> "뭐, 그보다도...\n 뭔가 고민하던 것 같은데 뭐야? 나한테 상담해봐."
<0008> "안 그래도 되는데요, 괜찮은 건데요...\n가까이 오지 마세요."
<0009> "그렇게 까칠할 것 없잖아...\n얼마 없는 마녀 친구인데."
<0010> "함께 여자력(Girl Power)을 높이자아-\n저기이 부탁이야아- 심심해애..."
<0011> "하으, 결국 심심풀이가 하고 싶은 것뿐이네요...\n그래도 그러면 뭐…　상대로는 적절하겠지요.\n미우, 저와 어울려주세요."
<0012> "그래 그래 그래! 어울리는 거구나, 예스! 오케이!\n 데이트 할래? 손 잡을까? 아니면 키스라든가 해.버.릴.까?"
<0013> "그런 게 아닌 건데요...\n얼굴 들이대지 말아주셨으면 하는 거예요."
<0014> "에헤헤, 농담이야 농담.\n근데, 어떻게 상대를 해주면 좋겠어?"
<0015> "잠시 게임 상대를 해주셨으면 하는 거예요."
<0016> "게임?"
<0017> "보드게임인 모양이에요.\n숲의 마녀에게 빌렸어요."
<0018> "여럿이서 같이 놀면 재밌을 것 같아서...\n같이 놀아주셨으면 하는 거예요."
<0019> "헤, 숲의 마녀도 이상한 거 갖고 있구나-"
<0020> "숲의 마녀가 말하길 전설의 여자아이의 혼이 잔뜩 들어간 게임이라나 보는 거예요."
<0021> "전설의 여자아이?"
<0022> "환상적인 수준의 여자력... GP를 키운 여자아이들이라는 모양이에요."
<0023> "그럼 이걸 하면...\n분명 레파의 GP도 빛날 게 틀림없는 거예요."
<0024> "헤, 재밌겠다! 얼른 하자!"
<0025> "근질근질하시네요.\n레파도 이제 근질근질거려요. 그럼 시작하는 거예요."
<0026> "하- 그럭저럭 즐길 만한 게임이네.\n근데 그렇게 큰 GP는 안 느껴지던데?"
<0027> "미우의 눈은 옹이눈인 거예요.\n그 두 사람 확실히 개개인의 GP는 크지 않았어요.\n그래도 둘이 다가서는 순간 GP가 폭발적으로 올라가는 거예요."
<0028> "CGP(Coupling Girl Power)...?\n내가 모르는 여자력의 가능성이라고?"
<0029> "그런 거예요.\nCGP... 그걸 아는 걸로 저희의 GP가 올라가는 기분이 드는 거예요."
<0030> "대단하네...! 이 게임의 무서움을 살짝 본 느낌이야...\n저기 저기 좀 더 하자."
<0031> "물론인 거예요.\n자, 다음 게임인 거예요."
<0032> "으와... 그 귀여운 생물은 뭐야.\n진짜 여자아이 맞아?"
<0033> "레파도 넋을 놓아버릴 것 같았어요.\n너무 귀여운 거예요..."
<0034> "근데 여자력이란 느낌의 귀여움은 아니었지."
<0035> "귀여움... Cute는 GP를 가꾸는 데 필수인 항목인 거예요.\n그치만 Cute가 지나치면 결국 여자의 테두리를 벗어나고 마는 거예요."
<0036> "큐트 오버라 이건가...\n우리들도 조심해야겠네."
<0037> "착각했던 방향성까지 가르쳐주다니...\n이 게임 점점 흥미로워지는 거예요."
<0038> "저기저기."
<0039> "알고 있는 거예요.\n얼른 다음 판을 시작하는 거예요."
<0040> "나, 지금 애들한테 공감이 되는걸-\n역시 활기도 귀여움의 요소구나."
<0041> "확실히 미우와 비슷한 타입의 여자아이였어요...\n그래도 그 아이들에게 주목해야 할 곳은 다른 부분이라고 생각하는 거예요."
<0042> "에?"
<0043> "그건 옷이에요.\n심플하면서도 하늘하늘...\n그야말로 몇백 년의 전통을 담은 듯한 숙성된 힘을 느꼈어요."
<0044> "확실히... 그 옷에서 오라가 나왔어."
<0045> "옷을 꾸미는 것은 GP 업의 기본인데요,\n누가 입든 귀여운, 그런 가능성이 느껴지는 의복이었어요."
<0046> "저기, 그러면 말이지 나도 어울릴까?"
<0047> "무서운 일이네요. 아무리 미우가 입어도 어울리겠어요.\n완전히 대단한 의복인 거예요."
<0048> "와아-\n그럼 다음에 숲의 마녀한테 만들어달라 해야지."
<0049> "아, 치사한 거예요.\n레파도 부탁하려는 거예요,"
<0050> "그럼 같이 부탁하러 가자."
<0051> "...생각해보는 거예요.\n일단은 이 게임을 계속 하는 거예요."
<0052> "기품, 이 한 마디로 정리되는 거예요."
<0053> "난 절대로 저렇게는 못 될 거야...\n조금 마음이 꺾여버리겠네."
<0054> "확실히 미우한테는 무리인 거예요.\n차분한 움직임 하나하나에 아름다움이 느껴진 거예요."
<0055> "아마 어릴 때부터 계속해서 쌓아온 거겠지."
<0056> "분명 그런 거예요.\n철들 때부터 단련하지 않으면 다다를 수 없는 경지를 보았어요."
<0057> "으으, 이 게임 계속하기 무서워진다아..."
<0058> "그치만 여기서 멈출 수는 없는 거예요."
<0059> "그치...\n망설여서는 귀여워지지 않는걸!\n계속 가보자!"
<0060> "뭔가 힘껏 노력하는 여자아이들이라는 느낌이었지."
<0061> "여기까지 와서 심플한 예시가 온 거예요.\n일하는 여자아이는 매력적인 거예요."
