
<0000> "흐흐흐-응 흐-응♪"
<0001> "오늘의 간식은 푸.딩.♪"
<0002> "내일도 모레도 매일 매일 푸딩-♪"
<0003> "포포-♪"
<0004> 다다다닷!
<0005> "잠깐만-!"
<0006> 다다다닷!
<0007> "뭐, 뭐예요?"
<0008> "포!?"
<0009> "폿포!"
<0010> "이상한 생물?"
<0011> "거기 멍멍이! 그 녀석 잡아줘!"
<0012> "에? 에?"
<0013> "포-오!"
<0014> 샥!
<0015> "아와와와!"
<0016> "푸딩 폿포!"
<0017> "내, 내 푸딩!!"
<0018> "잘 먹겠습니다 폿포!"
<0019> "꺄-!!"
<0020> "가만 둘까보냐!"
<0021> "포포-!"
<0022> "푸딩 돌려줘!"
<0023> "싫어 폿포!"
<0024> "머꼬, 재밌는 일이 있구만."
<0025> "지금은 유키 씨랑 실랑이 할 여유 없어요."
<0026> "나중에 오실래요."
<0027> "어어..."
<0028> "큐피 저 잡것이..."
<0029> "뭐 해! 멍멍이 네 쪽으로 간다고!"
<0030> "알았어요!"
<0031> "폿포!"
<0032> "쨔쟌! 승리예요!"
<0033> "졌다 폿포."
<0034> "푸딩이 걸리면 강해지는고만..."
<0035> "여튼... 도둑맞은 거 돌려받아야지."
<0036> "그래요! 푸딩이에요!"
<0037> "싫어 폿포!"
<0038> "뭣이!"
<0039> "도망 폿포!"
<0040> "앗-!"
<0041> "그런데..."
<0042> "카이 군은 뭘 도둑맞았나요?"
<0043> "지갑."
<0044> "저런-"
<0045> "현금에 카드까지 전부 거기에 들어있다고!"
<0046> "생사가 걸린 문제라니까."
<0047> "반드시 돌려받아야겠네요!"
<0048> "그래."
<0049> "그보다도... 폿포는 어딨을까요?"
<0050> "폿포-♪"
<0051> "폿포 울음소리!?"
<0052> "포포-!"
<0053> "앗! 저기! 착륙해 있는 비행선에 타고 있어요!"
<0054> "게다가 저 비행선 날아오르려 하잖아!"
<0055> "내가 왜 이런 애를 태우고 날아야 하는 거야..."
<0056> "빨리 해 폿포."
