
<0000> "우후후."
<0001> "히메도 참, 조금 지나치게 들떴어."
<0002> "이렇게 좋은 날씨인 걸... 가만 있을 수는 없잖니?"
<0003> "그 기분은 알겠지만 말이야."
<0004> "오늘은 하루 종일 춤추고 싶어."
<0005> "차암-"
<0006> "폿포!"
<0007> "어머, 이상한 생물이 있어."
<0008> "정말이네... 아이인가?"
<0009> "야-! 이 자식! 기다려!"
<0010> "이번엔 남자아이네?"
<0011> "폿포!"
<0012> "어머, 너도 춤추고 싶니?"
<0013> "폿포포!"
<0014> "야! 놀기 전에 내 지갑부터 내놔!"
<0015> "지갑?"
<0016> "그래! 내 전재산이 들어있다고!"
<0017> "그러니까 술래잡기를 하고 있다는 거구나?"
<0018> "그런 거야?"
<0019> "아냐!"
<0020> "폿포-♪"
<0021> "넷이서 술래잡기... 재밌겠네."
<0022> "히메도 참..."
<0023> "아니라 했잖아!"
<0024> "술래잡기 포포."
<0025> "그럼, 시작해볼까?"
<0026> "폿포."
<0027> "재밌었어."
<0028> "빠름으로는 스구리를 이길 사람은 없지."
<0029> "졌어 폿포."
<0030> "젠장할."
<0031> "좋아, 놀 만큼 놀았으니 슬슬 돌아갈까."
<0032> "오늘은 이제 시작인데?"
<0033> "포-!"
<0034> "정말로 하루 종일 놀 생각이야?"
<0035> "그치만 이렇게 좋은 날씨인걸?"
<0036> "폿포 고."
<0037> "에?"
<0038> "따라오라고 하는 것 같네."
<0039> "포-♪"
<0040> "이 아이를 따라가면 재밌을 것 같아..."
<0041> "폿포포-"
<0042> "그래, 그럼 같이 가볼까?"
<0043> "아, 기다리래도."
<0044> "여긴 어디지?"
<0045> "뭔가 달콤한 냄새가 나는데."
<0046> "폿포-♪."
<0047> "랄라라-"
<0048> "오늘 간식은 푸딩!"
<0049> "폿포-포!"
<0050> 꽈당!
<0051> "아아!!"
<0052> "폿포포-"
<0053> "으아! 내 푸딩이!"
<0054> "폿포 녀석, 제멋대로 행동하는구만."
<0055> "못써, 폿포!"
<0056> "포폿포-!"
<0057> "돌려줘요! 내 푸딩!"
<0058> "뭔가 재밌는 일이 있구마."
<0059> "유키 씨!?"
<0060> "고양이?"
<0061> "누구든 좋으니까 푸딩 되찾아줘요!"
<0062> "일단 폿포를 잡아야겠지."
<0063> "그렇지!"
<0064> "후."
<0065> "졌어요..."
<0066> "제기..."
<0067> "졌어 폿포..."
<0068> "자, 폿포."
<0069> "내 지갑 내놔."
<0070> "푸딩!"
<0071> "아직 폿포!"
<0072> "아!"
<0073> "또 도망쳤다!"
<0074> "쫓아가자."
<0075> "이번엔... 비행선?"
<0076> "이거 탈래 폿포!"
<0077> "저런 걸 타게 했다간..."
<0078> "잡을 수 없게 돼요!"
<0079> "폿포-♪"
<0080> 찰칵! 찰칵!
<0081> "폿포! 안 된다니깐!"
<0082> "폿포포!"
<0083> 부르르릉!
<0084> "움직이나?"
<0085> "아아! 내 레드 배럴이!"
<0086> "넌..."
<0087> "그것보다 레드 배럴!"
<0088> "저 비행선 네 거야?"
<0089> "응, 소중한 동료야!"
<0090> "그럼 얼른 되찾아야겠네."
<0091> "여어, 레드 배럴! 오늘에야말로 널 이겨주마."
<0092> "블루 크로우! 마침 잘 됐어!"
<0093> "응, 뭐야?"
<0094> "같이 저 아이를 잡자!"
<0095> "으응?"
<0096> "지금은 아직 잡을 수 있어."
<0097> "또 술래잡기네요!"
<0098> "가자!"
<0099> "잡았다!"
<0100> "레드 배럴!"
<0101> "지... 지친다."
<0102> "잡혔다 포."
<0103> "이번엔 안 놓쳐."
<0104> "자! 돌려주세요!"
<0105> "어쩔수 없네 포."
<0106> "레드 배럴! 다행이다..."
<0107> "...이번엔 순순히 돌려주는군..."
<0108> "좋아, 그럼 내 지갑도 돌려주시지."
<0109> "제 푸딩도!"
<0110> "...싫어 포!"
<0111> 샥!
<0112> "아."
<0113> "도망쳤어!?"
<0114> "또냐!"
<0115> "아아아아아아아-!!"
<0116> "무슨 일이야?"
<0117> "레드 배럴에 장전해둔 빅 로켓이... 사라졌어."
<0118> "그런 위험한 물건을 갖고 갔다고!?"
<0119> "어마마! ...푸딩이 위기예요!"
<0120> "얼른 쫓아가자!"
<0121> "이번엔 밤의 세계인가?"
<0122> "으으, 추워..."
<0123> "눈까지 내리고 말이지."
<0124> "코... 코타츠에서 뒹굴대고 싶어요..."
<0125> "폿포포!"
